5,E-CTV-01,QA32LS03CBJXZK,"32"" The Frame LS03C",SKU Price,4784,Failed,Galaxy Credit,,,SKU Price in Cart,4784,Failed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,QA32LS03CBJXZK,1,Passed,Z-ARTSTORE6MTHS,1,Passed,Z-VG-SCFC32SGMXY,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Failed,125.63
2024-8-6 16:26:9,9,E-CTV-05,QA43LS05BBJXZK,"43"" The Sero LS05B 白色",SKU Price,11423,Passed,Galaxy Credit,,,SKU Price in Cart,11423,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,0,Failed,Less - Expected 1 / Actual 0,Items in Cart,QA43LS05BBJXZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Failed,61.06999999999999
2024-8-6 16:27:48,39,E-CTV-35,QA98Q80CAJXZK,"98"" QLED 4K Q80C",SKU Price,70383,Passed,Galaxy Credit,,,SKU Price in Cart,70383,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,1,Failed,Less - Expected 3 / Actual 1,Items in Cart,QA98Q80CAJXZK,1,Passed,Z-WMN8000SX/XY,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Failed,68.64000000000001
2024-8-6 16:28:59,40,E-CTV-36,QA98QN990CJXZK,"98"" Neo QLED 8K QN990C",SKU Price,246383,Passed,Galaxy Credit,,,SKU Price in Cart,246383,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,1,Passed,-,Items in Cart,QA98QN990CJXZK,1,Passed,Z-WMN8000SX/XY,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,66.17000000000002
2024-8-6 16:30:10,41,E-CTV-37,UA32T5300AJXZK,"32"" T5300 FHD Smart TV",SKU Price,2887,Passed,Galaxy Credit,,,SKU Price in Cart,2887,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,0,Passed,-,Items in Cart,UA32T5300AJXZK,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,0
2024-8-6 16:32:32,51,E-CTV-47,SP-LFF3CLAXXZK,The Freestyle 2nd Gen,SKU Price,4784,Passed,Galaxy Credit,,,SKU Price in Cart,4784,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,2,Passed,-,Items in Cart,SP-LFF3CLAXXZK,1,Passed,Z-ITFITSD05,1,Passed,Z-VG-FBB3BA,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,Passed,72.59000000000003
2024-8-6 16:33:46,52,E-CTA-01,VG-SCFC32BWBXY,"32"" The Frame Modern Brown Bezel (2023)",SKU Price,696,Passed,Galaxy Credit,,,SKU Price in Cart,696,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,0,Passed,-,Items in Cart,VG-SCFC32BWBXY,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,62.789999999999964
2024-8-6 16:34:51,53,E-CTA-02,VG-SCFC32TKBXY,"32"" The Frame Modern Teak Bezel (2023)",SKU Price,696,Passed,Galaxy Credit,,,SKU Price in Cart,696,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,0,Passed,-,Items in Cart,VG-SCFC32TKBXY,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,63.52999999999997
2024-8-6 16:35:59,54,E-CTA-03,VG-SCFC32WTBXY,"32"" The Frame Modern White Bezel (2023)",SKU Price,696,Passed,Galaxy Credit,,,SKU Price in Cart,696,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,0,Passed,-,Items in Cart,VG-SCFC32WTBXY,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,63.27999999999997
2024-8-6 16:37:6,55,E-CTA-04,VG-SCFC32SGMXY,"32"" The Frame Beveled Sand Gold Bezel (2023)",SKU Price,872,Passed,Galaxy Credit,,,SKU Price in Cart,872,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,0,Passed,-,Items in Cart,VG-SCFC32SGMXY,1,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,58.440000000000055
