2024-6-7 10:5:14,S-SMP-01,SM-S9280LBPTGY,"Galaxy S24 Ultra, 1TB, Titanium Blue",SKU Price,10176,Passed,Galaxy Credit,,,SKU Price in Cart,10176,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9280LBPTGY,1,Passed,Z-SM-R400NZWATGY,1,Passed,Z-EP-T6530NBEGGB,1,Passed,Z-ITFITE01,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,40.660000000000004
2024-6-7 10:5:59,S-SMP-02,SM-S9280ZKHTGY,"Galaxy S24 Ultra, 512GB, Titanium Black",SKU Price,8536,Passed,Galaxy Credit,,,SKU Price in Cart,8536,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9280ZKHTGY,1,Passed,Z-SM-R400NZWATGY,1,Passed,Z-EP-T6530NBEGGB,1,Passed,Z-ITFITE01,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,45.54
2024-6-7 10:6:47,S-SMP-03,SM-S9280ZKGTGY,"Galaxy S24 Ultra, 256GB, Titanium Black",SKU Price,7716,Passed,Galaxy Credit,,,SKU Price in Cart,7716,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9280ZKGTGY,1,Passed,Z-SM-R400NZWATGY,1,Passed,Z-EP-T6530NBEGGB,1,Passed,Z-ITFITE01,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,0
2024-6-7 10:7:43,S-SMP-04,SM-S9260ZKGTGY,"Galaxy S24+, 512GB, Onyx Black",SKU Price,6750,Passed,Galaxy Credit,,,SKU Price in Cart,6750,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9260ZKGTGY,1,Passed,Z-SM-R400NZWATGY,1,Passed,Z-EP-T6530NBEGGB,1,Passed,Z-ITFITE01,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,45.41
2024-6-7 10:8:31,S-SMP-05,SM-S9260ZKDTGY,"Galaxy S24+, 256GB, Onyx Black",SKU Price,5930,Passed,Galaxy Credit,,,SKU Price in Cart,5930,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9260ZKDTGY,1,Passed,Z-SM-R400NZWATGY,1,Passed,Z-EP-T6530NBEGGB,1,Passed,Z-ITFITE01,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,45.56999999999999
2024-6-7 10:9:19,S-SMP-06,SM-S9210ZKHTGY,"Galaxy S24, 512GB, Onyx Black",SKU Price,5563,Passed,Galaxy Credit,,,SKU Price in Cart,5563,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9210ZKHTGY,1,Passed,Z-SM-R400NZWATGY,1,Passed,Z-EP-T6530NBEGGB,1,Passed,Z-ITFITE01,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,46.07000000000002
2024-6-7 10:10:8,S-SMP-07,SM-S9210ZKGTGY,"Galaxy S24, 256GB, Onyx Black",SKU Price,4713,Passed,Galaxy Credit,,,SKU Price in Cart,4713,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,3,Passed,-,Items in Cart,SM-S9210ZKGTGY,1,Passed,Z-SM-R400NZWATGY,1,Passed,Z-EP-T6530NBEGGB,1,Passed,Z-ITFITE01,1,Passed,,,,,,,,,,,,,,,,,,,,,,Passed,50.72999999999996
2024-6-7 10:10:59,S-SMP-08,SM-F9460LBHTGY,"Galaxy Z Fold5 1TB, 12GB + 1TB, Black",SKU Price,12449,Passed,Galaxy Credit,,,SKU Price in Cart,12449,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,4,Failed,More - Expected 3 / Actual 4,Items in Cart,SM-F9460LBHTGY,1,Passed,Z-ITFITCA05,1,Failed,Z-EP-T6530NBEGGB,1,Passed,Z-SM-R510NZAAASAMX,1,Passed,Z-ITFITE01,1,Passed,,,,,,,,,,,,,,,,,,,Failed,46.16999999999996
2024-6-7 10:11:47,S-SMP-09,SM-F9460ZUGTGY,"Galaxy Z Fold5 512, Gray (eStore)",SKU Price,10949,Passed,Galaxy Credit,,,SKU Price in Cart,10949,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,4,Passed,-,Items in Cart,SM-F9460ZUGTGY,1,Passed,Z-ITFITCA05,1,Passed,Z-EP-T6530NBEGGB,1,Passed,Z-SM-R510NZAAASAMX,1,Passed,Z-ITFITE01,1,Passed,,,,,,,,,,,,,,,,,,,Passed,47.44
2024-6-7 10:12:37,S-SMP-10,SM-F9460ZKDTGY,"Galaxy Z Fold5 256, 12GB + 256GB, Black",SKU Price,10199,Passed,Galaxy Credit,,,SKU Price in Cart,10199,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,4,Passed,-,Items in Cart,SM-F9460ZKDTGY,1,Passed,Z-ITFITCA05,1,Passed,Z-EP-T6530NBEGGB,1,Passed,Z-SM-R510NZAAASAMX,1,Passed,Z-ITFITE01,1,Passed,,,,,,,,,,,,,,,,,,,Passed,51.870000000000005
2024-6-7 10:13:30,S-SMP-11,SM-F7310ZYETGY,"Galaxy Z Flip5 512, Yellow (eStore)",SKU Price,6974,Passed,Galaxy Credit,,,SKU Price in Cart,6974,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,5,Passed,-,Items in Cart,SM-F7310ZYETGY,1,Passed,Z-EP-P5400TWEGGB,1,Passed,Z-ITFITE01,1,Passed,Z-EP-T6530NBEGGB,1,Passed,Z-SM-R510NZAAASAMX,1,Passed,Z-EF-ZF731CTEGWW,1,Passed,,,,,,,,,,,,,,,,Passed,52.47000000000003
2024-6-7 10:14:26,S-SMP-12,SM-F7310ZEATGY,"Galaxy Z Flip5 256, 8GB + 256GB, Cream",SKU Price,6224,Passed,Galaxy Credit,,,SKU Price in Cart,6224,Passed,Extra Trade-In Rebate,,,SC Plus Price,,,Premium Count,5,Passed,-,Items in Cart,SM-F7310ZEATGY,1,Passed,Z-EP-P5400TWEGGB,1,Passed,Z-ITFITE01,1,Passed,Z-EP-T6530NBEGGB,1,Passed,Z-SM-R510NZAAASAMX,1,Passed,Z-EF-ZF731CTEGWW,1,Passed,,,,,,,,,,,,,,,,Passed,50.47000000000003
